case_id,module,case_type,video_id,image_name,frame_index,timestamp_sec,track_id,expected_result,actual_result,root_cause,tags,snapshot_path,added_to_eval_set,review_status,reviewer_note,created_at
RBC-0001,detector,false_positive,demo_crosswalk_reviewed,train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,12,0.40,,No extra Person should be reported,Extra Person box appears near crowd edge,Crowded background and low-confidence silhouette,reviewed;false_positive;crowded_scene,docs/error_case_gallery/images/train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,yes,reviewed,Use as threshold tuning example,2026-06-20T00:00:00+00:00
RBC-0002,detector,false_negative,demo_crosswalk_reviewed,train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,28,0.93,,All visible pedestrians should be detected,Small partially occluded pedestrian missed,Small object and occlusion,reviewed;false_negative;small_object;occlusion,docs/error_case_gallery/images/train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,yes,reviewed,Useful for recall discussion,2026-06-20T00:01:00+00:00
RBC-0003,detector,class_confusion,demo_traffic_reviewed,adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,41,1.37,,Vehicle class should match visible shape,Truck-like vehicle predicted as Car,Similar vehicle scale and viewpoint,reviewed;class_confusion;vehicle,docs/error_case_gallery/images/adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,yes,reviewed,Keep as class taxonomy example,2026-06-20T00:02:00+00:00
RBC-0004,detector,false_positive,demo_traffic_reviewed,adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,55,1.84,,One vehicle box per visible object,Duplicate vehicle-like prediction at lane boundary,Dense traffic and overlapping vehicles,reviewed;false_positive;duplicate_like,docs/error_case_gallery/images/adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,no,reviewed,Not yet added to eval set,2026-06-20T00:03:00+00:00
RBC-0005,detector,false_negative,demo_traffic_reviewed,ea3829da1bcc87ac_jpg.rf.7624b15ed6641b72a7e9cec61dc8d7a2.jpg,63,2.10,,Bus should be detected,Bus instance missed at scene edge,Partial crop and scale change,reviewed;false_negative;bus;edge_object,docs/error_case_gallery/images/ea3829da1bcc87ac_jpg.rf.7624b15ed6641b72a7e9cec61dc8d7a2.jpg,yes,reviewed,Good for edge-object review,2026-06-20T00:04:00+00:00
RBC-0006,detector,class_confusion,demo_traffic_reviewed,adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,80,2.67,,Mini-truck and Truck labels should be separated,Mini-truck counted as Truck,Class boundary ambiguous in dataset labels,reviewed;class_confusion;needs_relabeling,docs/error_case_gallery/images/adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,no,reviewed,Keep out of eval until label policy confirmed,2026-06-20T00:05:00+00:00
RBC-0007,tracker,id_switch,demo_crosswalk_reviewed,1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,96,3.20,7,Pedestrian track id should remain stable,Track id changes after brief overlap,Occlusion and close pedestrian crossing,reviewed;id_switch;occlusion,docs/error_case_gallery/images/1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,yes,reviewed,Representative ID switch case,2026-06-20T00:06:00+00:00
RBC-0008,tracker,track_lost,demo_crosswalk_reviewed,train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,104,3.47,11,Track should continue through short occlusion,Track terminates before object exits,Short occlusion and low confidence detection gap,reviewed;track_lost;occlusion,docs/error_case_gallery/images/train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,yes,reviewed,Use for tracker gap analysis,2026-06-20T00:07:00+00:00
RBC-0009,tracker,id_switch,demo_traffic_reviewed,adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,118,3.94,14,Vehicle track id should stay consistent,ID swaps with adjacent vehicle,Parallel vehicles with similar appearance,reviewed;id_switch;vehicle_overlap,docs/error_case_gallery/images/adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,yes,reviewed,Good ByteTrack comparison example,2026-06-20T00:08:00+00:00
RBC-0010,tracker,track_lost,demo_traffic_reviewed,adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,130,4.34,18,Vehicle track should continue until frame edge,Track lost mid-scene,Detector confidence dip causes tracker fragmentation,reviewed;track_lost;fragmented_track,docs/error_case_gallery/images/adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,no,reviewed,Potential regression case after tracker tuning,2026-06-20T00:09:00+00:00
